A,AIQ,BCAP,BZCAP,BZMAX,BZMIN,CAPCOST,CFCAP,DCAP,DI,ETA,GPX,GROEI,HCAP,I,KGV,LAB,LAMBDA,MPK,MPL,MZK,NCAP,OCAP,PX,PY,PYC,PYC1,RF,RHO,RHOX,RHOXMAX,RHOXMIN,RISK,TC,THETA,TP,WAGE,WAGE1,X,XK,YD,YDEX,YDEX1,YS,ZCAP
,,0.23431,,,,,,,,,,,,0.07446,90.95893,,,,,,,,1,,1,,,,,,,,,,,1,,,,,99.0099009901,,,
0.56,0.7993126541,0.2114934876,0.2114934876,3.1179144281,0.1012801603,0.1046762986,0.1521534172,0.0260767086,0.0711493488,0.0046043904,0,0.01,-1.38777878078145E-17,0.0928111491,91.3350130858,79.931265407,0.5987571017,0.1611016433,0.7301722501,0.1369011589,1.38777878078145E-17,0,1,1.3695398582,1,1,0.08,0.065,0.1078587731,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,9.4719760858,0.1041346472,73.0172250191,100,101,73.0172250191,0.2043690846
0.56,0.7985336869,0.1896659469,0.1896659469,3.1179144281,0.1012801603,0.1018816233,0.1519490591,0.0259745296,0.0689665947,0.0036102096,0,0.01,2.77555756156289E-17,0.0912819559,91.8024317778,80.6519023771,0.5985576153,0.1623547486,0.7287497168,0.139359899,0,2.77555756156289E-17,1,1.3722131757,1,1,0.08,0.065,0.1043625704,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,9.6009200006,0.1051176288,73.6037241047,101,102.01,73.6037241047,0.2062107189
0.56,0.7978843249,0.1676216203,0.1676216203,3.1179144281,0.1012801603,0.0991008962,0.1542350739,0.0271175369,0.066762162,0.0026474066,0,0.01,1.38777878078145E-17,0.0897859314,92.3619526033,81.3921799814,0.5983855404,0.163403217,0.7275647616,0.1414733713,0,1.38777878078145E-17,1,1.3744478465,1,1,0.08,0.065,0.1009767132,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,9.7397640033,0.1060948366,74.2188947097,102.01,103.0301,74.2188947097,0.2077048684
0.56,0.7973644241,0.1455121403,0.1455121403,3.1179144281,0.1012801603,0.0963604881,0.1562793097,0.0281396548,0.064551214,0.0017233976,0,0.01,2.77555756156289E-17,0.0883342962,93.0137567448,82.1525363505,0.5982407943,0.1642453012,0.7266165026,0.1432329664,0,2.77555756156289E-17,1,1.3762411621,1,1,0.08,0.065,0.0977272815,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,9.8879994018,0.1070570633,74.8634053671,103.0301,104.060401,74.8634053671,0.2088489128
0.56,0.7969724591,0.123483141,0.123483141,3.1179144281,0.1012801603,0.0936848345,0.1580748797,0.0290374399,0.0623483141,0.0008442257,0,0.01,-1.38777878078145E-17,0.0869365614,93.757474763,82.9332736783,0.5981224718,0.1648819025,0.7259016565,0.1446352555,1.38777878078145E-17,0,1,1.3775958285,1,1,0.08,0.065,0.094635527,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,10.0450936926,0.1079957852,75.537685908,104.060401,105.10100501,75.537685908,0.2096451787
0.56,0.7967045936,0.1016713225,0.1016713225,3.1179144281,0.1012801603,0.0910957398,0.1596199568,0.0298099784,0.0601671323,1.4509268480456E-05,0,0.01,0,0.085600419,94.5922330196,83.7344534855,0.5980289908,0.1653160889,0.7254150967,0.1456816315,0,0,1,1.3785210766,1,1,0.08,0.065,0.0917176909,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,10.210505733,0.1089033782,76.2418557053,105.10100501,106.1520150601,76.2418557053,0.2101017943
0.56,0.7965583376,0.1012801603,0.0793415509,3.1179144281,0.1012801603,0.0910498933,0.161083154,0.0526758677,0.060128016,0,0,0.01,0.0221342907,0.0855768916,95.4359476502,84.5562726494,0.5980275185,0.16555404,0.7251487831,0.1460987315,0,0.0221342907,1,1.3790273435,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,10.3029379325,0.1089194916,76.9760045431,106.1520150601,107.2135352107,76.9760045431,0.2105083645
0.56,0.7964141725,0.1012801603,0.0788225043,3.1179144281,0.1012801603,0.0910498933,0.1613485142,0.053332228,0.060128016,0,0,0.01,0.022657971,0.0855768916,96.2872049939,85.3863789259,0.5980275185,0.1657887566,0.7248863248,0.1465052497,0,0.022657971,1,1.3795266456,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,10.3948521087,0.1089196719,77.7176255028,107.2135352107,108.2856705628,77.7176255028,0.2109147649
0.56,0.7962699727,0.1012801603,0.0787012549,3.1179144281,0.1012801603,0.0910498933,0.1615927944,0.0535766944,0.060128016,0,0,0.01,0.0227802972,0.0855768916,97.1460353345,86.2246279469,0.5980275185,0.166023696,0.7246238508,0.1469122482,0,0.0227802972,1,1.380026339,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,10.4875508401,0.1089194649,78.4663795938,108.2856705628,109.3685272684,78.4663795938,0.2113218987
0.56,0.7961256867,0.1012801603,0.0785799915,3.1179144281,0.1012801603,0.0910498933,0.1618374862,0.0538213853,0.060128016,0,0,0.01,0.0229026423,0.0855768916,98.0125260683,87.0710938785,0.5980275185,0.1662589427,0.7243612672,0.1473200685,0,0.0229026423,1,1.3805266033,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,10.5810942672,0.1089194657,79.2223250228,109.3685272684,110.4622125411,79.2223250228,0.2117297182
0.56,0.7959813142,0.1012801603,0.0784585155,3.1179144281,0.1012801603,0.0910498933,0.1620826031,0.0540665033,0.060128016,0,0,0.01,0.0230252017,0.0855768916,98.8867453321,87.9258571045,0.5980275185,0.1664944422,0.724098635,0.1477285582,0,0.0230252017,1,1.3810273816,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,10.6754718706,0.1089194647,79.9855339682,110.4622125411,111.5668346665,79.9855339682,0.2121382465
0.56,0.7958368947,0.1012801603,0.0783368432,3.1179144281,0.1012801603,0.0910498933,0.1623281188,0.0543120186,0.060128016,0,0,0.01,0.0231479592,0.0855768916,99.768762196,88.7890032498,0.5980275185,0.1667302084,0.7238359391,0.1481377295,0,0.0231479592,1,1.3815286202,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,10.7706913971,0.108919465,80.756079199,111.5668346665,112.6825030132,80.756079199,0.2125474393
