,b,bf,Cd,Cm,C,C_O,C_C,g,E,H,Id,Im,I,K,L,Lb,M,mc,r_k,T,U,X,Y,Yf,lbint_C,wint,Eint,YfP,Gapf,IC,S,pcp,pip,pcmp,pimp,pfp,pxp,Pi,Pic,Pii,Picm,Piim,Pix,Pif,Pim,Q,R,w,w_h,z_w,z_C,z_K,z_I,z_M,z_Y,z_pf,z_A,z_L,z_G,z_Yf,a,mu,eps_b,eps_p,eps_w,eps_cm,eps_x,eps_f,eps_yf,eps_pif,zcd,zcm,zid,zim,e_p2,e_w2,e_f2,e_x2,e_mu2,e_cm2,e_b2
2,-0.0039417,-0.003928,7.8968E-5,0.0025151,9.3163E-4,9.3163E-4,0.0064681,0.0115,3.8167E-4,0.0048707,5.289E-4,0.0029651,0.0012598,1.8839E-5,0.0048449,-0.0045576,0.0026344,0.0041911,0.0066759,1.4879E-20,6.642E-5,-0.0013158,0.0028063,-5.2737E-18,-0.0051367,0.0031155,3.8167E-4,0,-5.4552E-18,3.2813E-4,0.0012502,9.0353E-19,1.0794E-20,-0.0012181,-0.0012181,-0.0012181,-2.7144E-4,0.0012181,0.0012181,0.0012181,-1.8692E-19,-1.4518E-19,9.4665E-4,2.2687E-18,0,0.0024838,-6.4066E-19,0.0018974,0.014247,1.1471E-18,2.9178E-18,3.0603E-18,3.3903E-18,1.9663E-18,3.427E-18,1.4607E-18,3.4417E-19,5.0323E-19,-2.544E-21,2.1824E-21,0,0,0,5.9507E-19,-3.8855E-20,-4.1291E-19,6.7716E-19,0,7.5283E-19,0,-8.5266E-4,-8.5266E-4,-7.3085E-4,-7.3085E-4,0,0,0,0,0,0,0
3,0.0010183,0.0012785,2.8964E-4,0.004375,0.0017195,0.0017195,0.0059505,0.01035,4.7304E-4,-0.0015853,0.0011891,0.0052745,0.0024147,5.4669E-5,0.0032305,-0.0086337,0.0046135,0.0045225,0.0061607,1.8404E-4,6.1295E-5,-0.0022394,0.0018901,-1.2959E-17,-0.0052757,0.0019375,9.1368E-5,-2.7929E-19,-1.2521E-17,6.9521E-4,0.0015579,2.581E-18,-3.0947E-18,-0.0020427,-0.0020427,-0.0020427,-4.3162E-4,8.2458E-4,8.2458E-4,8.2458E-4,3.0738E-18,-2.5779E-19,6.644E-4,9.4914E-19,0,0.0065329,-1.5949E-18,0.0030103,0.015095,-5.7471E-18,-5.0713E-18,-1.0879E-17,-4.6427E-18,5.3671E-18,-6.1756E-18,-1.1543E-17,-1.2042E-18,1.2696E-18,3.0211E-18,3.0852E-18,3.1919E-19,-1.3608E-36,9.8584E-36,3.9275E-19,-4.274E-21,-3.9226E-19,6.2299E-19,2.6119E-36,4.0201E-19,0,-0.0014299,-0.0014299,-0.0012256,-0.0012256,0,0,0,0,0,0,0
4,-1.73E-4,1.9093E-4,3.8068E-4,0.0056308,0.0022182,0.0022182,0.0047605,0.009315,3.8286E-4,-2.3675E-4,0.0016861,0.0069363,0.0032612,1.0262E-4,0.0018007,-0.0064562,0.005977,0.0040532,0.0049355,-4.7543E-5,4.9105E-5,-0.0029971,0.0010848,-2.2234E-17,-0.0044693,8.1071E-4,-9.0187E-5,-5.2618E-19,-2.3045E-17,0.001043,0.0010943,2.1008E-18,-2.967E-18,-0.0026251,-0.0026251,-0.0026251,-4.6888E-4,5.8241E-4,5.8241E-4,5.8241E-4,-1.9436E-18,-1.205E-18,5.4516E-4,-4.1864E-21,0,0.0043064,-4.2038E-18,0.0032386,0.010058,-7.4041E-18,-5.0249E-18,-1.0836E-17,-4.7419E-18,3.5971E-18,-5.0573E-18,-8.6544E-18,-1.9749E-18,3.233E-18,3.0788E-18,1.8804E-18,4.5963E-19,-7.996E-38,5.2343E-36,2.5921E-19,-4.7014E-22,-3.7265E-19,5.7315E-19,3.9022E-36,2.1468E-19,0,-0.0018376,-0.0018376,-0.001575,-0.001575,0,0,0,0,0,0,0
5,1.3373E-4,5.2783E-4,4.5714E-4,0.0064081,0.00254,0.00254,0.0035276,0.0083835,1.9723E-4,-6.545E-4,0.0021203,0.0080713,0.0039056,1.595E-4,6.9257E-4,-0.0058676,0.0068491,0.0033294,0.0036174,8.0773E-6,3.5991E-5,-0.0035201,4.6934E-4,-3.3201E-17,-0.0039922,1.7522E-4,-1.8563E-4,-7.4399E-19,-3.4781E-17,0.0013656,3.1613E-4,1.6411E-18,-3.2202E-18,-0.0029755,-0.0029755,-0.0029755,-4.4299E-4,3.5039E-4,3.5039E-4,3.5039E-4,-9.5597E-19,-2.7261E-18,3.7628E-4,-1.4973E-19,0,0.0036979,-8.9278E-18,0.0030635,0.0072527,-7.6088E-18,-4.511E-18,-1.0472E-17,-4.1369E-18,3.1839E-18,-4.8945E-18,-8.0784E-18,-2.0791E-18,3.0742E-18,3.0541E-18,1.6073E-18,5.0674E-19,2.2716E-37,6.4707E-36,1.7108E-19,-5.1716E-23,-3.5402E-19,5.273E-19,4.4909E-36,1.1464E-19,0,-0.0020828,-0.0020828,-0.0017853,-0.0017853,0,0,0,0,0,0,0
6,1.1978E-4,4.7755E-4,5.259E-4,0.0067995,0.0027217,0.0027217,0.0023803,0.0075452,-2.409E-5,-5.9216E-4,0.0024932,0.0087668,0.0043753,2.2254E-4,-1.2431E-4,-0.0050478,0.0073212,0.0025338,0.002374,-6.244E-6,2.3619E-5,-0.003833,2.5582E-5,-4.3653E-17,-0.0035418,-2.2075E-4,-2.2132E-4,-9.3569E-19,-4.5853E-17,0.0016536,-5.5428E-4,1.226E-18,-3.3229E-18,-0.0031368,-0.0031368,-0.0031368,-3.7926E-4,1.6133E-4,1.6133E-4,1.6133E-4,-3.2458E-18,-3.9869E-18,2.2506E-4,-6.3254E-19,0,0.0028784,-1.4624E-17,0.0026814,0.0047991,-7.5876E-18,-4.0873E-18,-9.9454E-18,-3.7272E-18,2.6643E-18,-4.4179E-18,-7.0822E-18,-2.1224E-18,3.1056E-18,2.9494E-18,1.2518E-18,5.0633E-19,5.3307E-37,5.7125E-36,1.1291E-19,-5.6888E-24,-3.3632E-19,4.8511E-19,4.709E-36,6.1216E-20,0,-0.0021958,-0.0021958,-0.0018821,-0.0018821,0,0,0,0,0,0,0
7,2.0656E-4,4.8544E-4,5.9711E-4,0.0069048,0.0028048,0.0028048,0.0014282,0.0067906,-2.4213E-4,-6.0195E-4,0.0028161,0.0091238,0.0047084,2.8963E-4,-6.8382E-4,-0.0044349,0.0074932,0.0017981,0.0013199,-5.5927E-6,1.3132E-5,-0.0039652,-2.6671E-4,-5.2603E-17,-0.0031801,-4.2491E-4,-2.1804E-4,-1.104E-18,-5.5227E-17,0.0019036,-0.0013715,8.6519E-19,-3.3868E-18,-0.0031539,-0.0031539,-0.0031539,-3.0122E-4,1.7061E-5,1.7061E-5,1.7061E-5,-4.2921E-18,-5.3217E-18,9.5109E-5,-1.2914E-18,0,0.0022861,-2.0672E-17,0.0022394,0.0030672,-7.3101E-18,-3.6869E-18,-9.3866E-18,-3.4434E-18,2.365E-18,-4.0214E-18,-6.3864E-18,-2.0548E-18,2.9394E-18,2.8204E-18,1.0488E-18,4.8284E-19,6.9208E-37,5.7254E-36,7.4522E-20,-6.2576E-25,-3.195E-19,4.463E-19,4.733E-36,3.2689E-20,0,-0.0022077,-0.0022077,-0.0018923,-0.0018923,0,0,0,0,0,0,0
8,2.8329E-4,4.5859E-4,6.7061E-4,0.0068067,0.0028182,0.0028182,6.9529E-4,0.0061116,-4.3418E-4,-5.6865E-4,0.0030917,0.0092278,0.0049325,3.5906E-4,-0.0010351,-0.0039151,0.0074487,0.0011777,4.8631E-4,-9.6442E-6,4.8384E-6,-0.0039545,-4.3657E-4,-5.9486E-17,-0.0028788,-5.0943E-4,-1.9205E-4,-1.2512E-18,-6.2382E-17,0.0021143,-0.002063,5.6192E-19,-3.3861E-18,-0.003068,-0.003068,-0.003068,-2.231E-4,-8.5835E-5,-8.5835E-5,-8.5835E-5,-5.4423E-18,-6.2485E-18,-7.7142E-6,-2.0357E-18,0,0.0018025,-2.6503E-17,0.0018158,0.001845,-6.9373E-18,-3.3474E-18,-8.8475E-18,-3.344E-18,2.1714E-18,-3.6516E-18,-5.823E-18,-1.9457E-18,2.7623E-18,2.6847E-18,9.2074E-19,4.4921E-19,7.8805E-37,5.436E-36,4.9185E-20,-6.8834E-26,-3.0353E-19,4.106E-19,4.6571E-36,1.7456E-20,0,-0.0021476,-0.0021476,-0.0018408,-0.0018408,0,0,0,0,0,0,0
9,3.6669E-4,4.2877E-4,7.442E-4,0.0065724,0.0027841,0.0027841,1.714E-4,0.0055004,-5.893E-4,-5.3168E-4,0.0033216,0.0091498,0.0050701,4.2951E-4,-0.0012269,-0.0034969,0.0072559,6.8991E-4,-1.341E-4,-1.3227E-5,-1.3342E-6,-0.0038377,-5.1291E-4,-6.4163E-17,-0.0026299,-5.1922E-4,-1.5511E-4,-1.3796E-18,-6.7206E-17,0.002286,-0.0026001,3.1383E-19,-3.3368E-18,-0.0029141,-0.0029141,-0.0029141,-1.5319E-4,-1.5393E-4,-1.5393E-4,-1.5393E-4,-6.1036E-18,-7.4518E-18,-8.4018E-5,-2.742E-18,0,0.0014316,-3.1729E-17,0.0014505,0.0010431,-6.526E-18,-3.0634E-18,-8.3524E-18,-3.3982E-18,2.0709E-18,-3.3356E-18,-5.4066E-18,-1.8157E-18,2.5838E-18,2.5539E-18,8.5993E-19,4.122E-19,8.3505E-37,5.2312E-36,3.2462E-20,-7.5717E-27,-2.8835E-19,3.7775E-19,4.5314E-36,9.3215E-21,0,-0.0020399,-0.0020399,-0.0017485,-0.0017485,0,0,0,0,0,0,0
10,4.4493E-4,3.9506E-4,8.1476E-4,0.0062536,0.0027183,0.0027183,-1.7343E-4,0.0049504,-7.0447E-4,-4.8987E-4,0.0035067,0.0089455,0.0051383,4.9993E-4,-0.0013036,-0.0031566,0.0069674,3.2836E-4,-5.699E-4,-1.7121E-5,-5.6701E-6,-0.0036476,-5.2186E-4,-6.6758E-17,-0.0024217,-4.8771E-4,-1.1517E-4,-1.4911E-18,-6.9848E-17,0.0024199,-0.0029822,1.158E-19,-3.2484E-18,-0.0027194,-0.0027194,-0.0027194,-9.5223E-5,-1.947E-4,-1.947E-4,-1.947E-4,-6.5742E-18,-7.6734E-18,-1.3674E-4,-3.3391E-18,0,0.0011459,-3.6105E-17,0.0011575,5.4946E-4,-6.1166E-18,-2.8302E-18,-7.9043E-18,-3.5683E-18,2.029E-18,-3.0667E-18,-5.0958E-18,-1.6825E-18,2.4283E-18,2.4312E-18,8.4269E-19,3.7526E-19,8.5201E-37,4.973E-36,2.1425E-20,-8.3289E-28,-2.7393E-19,3.4753E-19,4.3825E-36,4.9777E-21,0,-0.0019036,-0.0019036,-0.0016316,-0.0016316,0,0,0,0,0,0,0
11,5.152E-4,3.619E-4,8.7961E-4,0.005888,0.0026325,0.0026325,-3.7559E-4,0.0044553,-7.8165E-4,-4.4876E-4,0.0036478,0.0086562,0.0051503,5.6948E-4,-0.0013018,-0.002879,0.006622,7.5261E-5,-8.5723E-4,-2.0774E-5,-8.5288E-6,-0.0034113,-4.8519E-4,-6.7555E-17,-0.0022452,-4.3673E-4,-7.7179E-5,-1.5875E-18,-7.0615E-17,0.0025178,-0.0032241,-3.8618E-20,-3.1326E-18,-0.0025042,-0.0025042,-0.0025042,-5.002E-5,-2.1522E-4,-2.1522E-4,-2.1522E-4,-7.7002E-18,-8.9392E-18,-1.7002E-4,-3.793E-18,0,9.2655E-4,-3.9514E-17,9.3602E-4,2.7527E-4,-5.7266E-18,-2.6386E-18,-7.497E-18,-3.8102E-18,2.0223E-18,-2.8388E-18,-4.861E-18,-1.5544E-18,2.2996E-18,2.3167E-18,8.5255E-19,3.4004E-19,8.4929E-37,4.7218E-36,1.414E-20,-9.1618E-29,-2.6024E-19,3.1973E-19,4.2245E-36,2.6581E-21,0,-0.0017529,-0.0017529,-0.0015025,-0.0015025,0,0,0,0,0,0,0
